document,chunk,text,question
fishing-for-cannons,0,The sunken ship is a tempting target for salvors and assorted chancers.,Why is the sunken ship attractive to salvors and opportunists?
fishing-for-cannons,1,Repeated attempts to raise the ship fail; it is firmly stuck in the mud of the harbour bottom.,Why has the ship remained stuck despite multiple efforts to raise it?
fishing-for-cannons,2,"Finally, 35 years after the sinking, a team of divers led by Albrecht von Treileben and Andreas Peckell succeed in bringing up almost all of Vasa´s cannons.",How long after the sinking were the cannons of the ship successfully retrieved by the team of divers?
fishing-for-cannons,3,"They use a recently perfected invention, the diving bell, to reach the ship, rip up the deck, and extract guns, which are sold abroad.","What device was recently perfected to facilitate the recovery of guns from a sunken ship, which were then sold overseas?"
vasa-is-nearly-turned-into-furniture,0,"Two brothers from Oskarshamn, Simon and Leonard Olschanski, apply for permission to salvage ships sunk in Stockholm harbour between Beckholmen, where Vasa lies, and Tegelviken.",What was the objective of the two brothers from Oskarshamn in Stockholm harbour?
vasa-is-nearly-turned-into-furniture,1,"They plan to blow up the wrecks to get black oak, waterlogged wood, which is popular in Sweden for Art Deco furniture.",Why do they intend to detonate the shipwrecks?
vasa-is-nearly-turned-into-furniture,2,But the authorities say no - a crucial decision that makes it possible for the Vasa Museum to exist today.,Why was the decision by the authorities significant for the existence of the Vasa Museum?
anders-franzén-gets-a-bite,0,"The calendar shows 25 August 1956 when Anders Franzén, a fuels engineer, finally gets a bite.",What significant event took place on 25 August 1956 involving Anders Franzén?
anders-franzén-gets-a-bite,1,"Dark winter days poring over old documents in dusty archives, rainy summer days dragging the bottom of Stockholm harbour, have led to this.",What led to the breakthrough in the research?
anders-franzén-gets-a-bite,2,"After his drag has once again caught an obstruction on the bottom, his coring device has returned to the surface with a plug of black, waterlogged oak.",What did the coring device bring up after it was obstructed at the bottom?
anders-franzén-gets-a-bite,3,Another core 20 meters away produces the same result.,Does a second core located 20 meters away show similar findings?
anders-franzén-gets-a-bite,4,"There is something big, old and wooden on the bottom in front of the island of Beckholmen.","What is the large, ancient wooden object located at the seabed near the island of Beckholmen?"
anders-franzén-gets-a-bite,5,Franzén has enough evidence to persuade the navy to send a diving team to investigate.,What convinced the navy to launch a diving investigation?
anders-franzén-gets-a-bite,6,Could it be Vasa?,Is it possible that the ship in question is Vasa?
news-frenzy,0,Swedish radio interrupts its regular programming and broadcasts direct from the salvage operation when one of Vasa's cannon is brought up from the deep.,What event caused Swedish radio to interrupt its regular programming and broadcast live from a salvage operation?
news-frenzy,1,"Each new find, each twist and turn in the saga of raising the ship is a news story.",Why does every development in the process of recovering the ship become a news story?
news-frenzy,2,"Vasa emerges on the international stage as a celebrity, and Per Edvin Fälting becomes a media hero, a tough, no-nonsense dive boss, everyman getting the job done.",Who became a media hero for their role in the recovery of the Vasa ship?
vasa-moves-for-the-first-time-in-331-years,0,"The proposals are many and imaginative, everything from filling Vasa with ping-pong balls to freezing it in a giant ice-cube.",What were some of the creative ideas suggested for preserving the Vasa ship?
vasa-moves-for-the-first-time-in-331-years,1,"But the Neptune Company insists on a tried-and-tested method, used since the Middle Ages to raise sunken ships.",What method has the Neptune Company relied on since the Middle Ages to salvage sunken ships?
vasa-moves-for-the-first-time-in-331-years,2,Divers have spent more than two years digging tunnels and passing cables under the ship up to floating pontoons.,How long have divers been working on the underwater project involving tunneling and installing cables beneath a ship?
vasa-moves-for-the-first-time-in-331-years,3,"On 20 August 1959, the pumps start in the pontoons and Vasa frees itself from the mud.",What method was used to lift a sunken ship from the mud in an effort to salvage it in 1959?
vasa-moves-for-the-first-time-in-331-years,4,"The ship is lifted and moved under the water surface in 18 stages, and in September Vasa lies at a depth of 17 metres by the island of Kastellholmen.",How was the ship moved under the water surface and at what depth near Kastellholmen was it located in September?
vasa-moves-for-the-first-time-in-331-years,5,Divers will spend another year and a half preparing the ship for the final lift.,How long will divers continue to prepare the ship before attempting the final lift?
the-end-of-a-long-beauty-sleep,0,"Many Stockholm residents probably remember that it was Monday, 24 April 1961.",What day of the week was significant to many residents of Stockholm in April 1961?
the-end-of-a-long-beauty-sleep,1,People by the thousands are crowded in with Swedish and international media around Kastellholmen when Vasa first appears from the deep after 333 years of hibernation.,What attracted thousands of people and media attention at Kastellholmen when an ancient ship was raised after centuries underwater?
the-end-of-a-long-beauty-sleep,2,A ship from the 17th century is headline material in newspapers around the world.,Why is a 17th-century ship making news around the world today?
vasa-meets-the-public,0,"By Friday 16 February 1962, the ship is ready to be displayed to the general public at the newly-constructed Wasa Shipyard, where visitors can see Vasa while a team of conservators, carpenters and other technicians work to preserve the ship.",When was the ship made available for public viewing at its dedicated shipyard?
vasa-meets-the-public,1,The museum opens with a salute from two of Vasa's cannon.,What ceremonial event marks the opening of the museum?
vasa-meets-the-public,2,"Public interest is enormous and success is immediate – in 1962, 439,300 buy a ticket to see the ship and its unique finds.",What was the public reaction to viewing the ship and its artifacts in 1962?
operation-preserve-vasa,0,Reconstructing and preserving a mighty warship from the 17th century is an enormous challenge.,What are the challenges in reconstructing and preserving a 17th-century warship?
operation-preserve-vasa,1,"When waterlogged wood dries out, and the moisture in it evaporates, it shrinks and cracks.",What happens to waterlogged wood as it dries out?
operation-preserve-vasa,2,"In order to prevent Vasa from being destroyed, conservation of the ship begins using polyethylene glycol, PEG, to replace the water.",What substance was used to replace water in the ship's conservation process to prevent it from being destroyed?
operation-preserve-vasa,3,"Loose objects are placed in large baths, while the hull of the ship is sprayed around the clock with the help of 500 nozzles and an elaborate pumping and filtering system.",How is the hull of the ship cleaned and maintained?
operation-preserve-vasa,4,This treatment will continue until 1979.,When is the treatment scheduled to end?
drying-out,0,Some things just take time.,Why do certain processes require a longer duration to complete?
drying-out,1,"Even after being sprayed for 17 years, the ship has a long way to go.",How long has the ship been undergoing treatment with spray?
drying-out,2,"The wood has to dry slowly to avoid cracking, and over the next ten years the humidity is gradually lowered.",Why does the wood need to dry slowly over a period of ten years?
drying-out,3,"In fact, drying will go on for decades until the ship stabilizes completely.",How long will it take for the ship to completely stabilize after drying?
vasa-gets-a-new-home,0,384 proposals from all over the Nordic countries are received when an architectural competition to build the new Vasa Museum is launched in 1981.,How many proposals were received from the Nordic countries for the architectural competition to build the new museum in 1981?
vasa-gets-a-new-home,1,"Swedish architects Hidemark Månsson Arkitektkontor AB wins against tough competition and, on 15 June 1990, the new museum is officiallt opened.",What led to the official opening of the new museum on 15 June 1990?
vasa-gets-a-new-home,2,The ship is the centrepiece of themed exhibits about all aspects of naval life in the early 17th century.,What is the main focus of the themed exhibits related to naval life in the early 17th century?
millennium-bug,0,"In summer 2000, the weather is terrible, with nearly constant rain.",How was the weather during the summer of 2000?
millennium-bug,1,"Tens of thousands of wet visitors raise the humidity in the museum, and it swings wildly during each day as the overworked climate plant tries to catch up.",What impact do the numerous visitors have on the museum's climate control system?
millennium-bug,2,Then alarm bells ring for the conservation staff: yellow and white spots appear on the ship and many of the artefacts.,What triggered the alarm for the conservation team regarding the ship and its artifacts?
millennium-bug,3,These suggest that the high humidity is combining with sulphur in the wood to produce destructive acids.,What causes the formation of destructive acids in wood under high humidity conditions?
millennium-bug,4,Media reports trumpet that the ship is in danger of dissolving away before the visitors' eyes.,What is the threat to the ship that is attracting media attention?
millennium-bug,5,"The immediate solution is an entirely new, state-of-the-art climate plant, on line in 2004, and the launch of an international research project to understand what is happening in the wood and correct it.",What immediate steps were taken to address the issue with the wood and when were they implemented?
50th-anniversary-and-record-visitor-numbers,0,Tourists make the pilgrimage when Vasa celebrates the 50th anniversary of its recovery from the depths.,What event do tourists gather for on the 50th anniversary related to the Vasa?
50th-anniversary-and-record-visitor-numbers,1,The Vasa Museum sets a new record with well over 1.2 million visitors.,How many visitors did the Vasa Museum attract to set a new record?
50th-anniversary-and-record-visitor-numbers,2,"After half a century of conservation and restoration work, the success of Vasa is easy to understand: it is unique, an intact ship from a forgotten time.",Why is the ship considered a success after half a century of conservation and restoration efforts?
50th-anniversary-and-record-visitor-numbers,3,"Over 98% of the original structure survives, including masts and sails, so it does not look like a wreck, but a ship awaiting the start of the next voyage, just as Vasa looked in the winter of 1628.","What percentage of the original structure of the ship still remains, making it look as if it's ready to embark on a new journey, similar to its appearance in the winter of 1628?"
entry-into-the-world´s-top-10-attractions,0,"As the only Swedish entry, the Vasa Museum, in ninth place makes it onto the top 10 list of the world´s best museums according to TripAdvisor, the world´s largest travel site.",What Swedish museum is ranked among the top 10 in the world according to TripAdvisor?
the-roar-of-battle,0,"In 2013, an exact copy of one of Vasa's cannon is cast at Tierps Jernbruk.",Where was a replica of Vasa's cannon made in 2013?
the-roar-of-battle,1,"A year later, after building a replica section of Vasa as a target, researchers test fire the gun over 50 times.",How many times was the gun test-fired at the replica of the ship?
the-roar-of-battle,2,"They discover that the cannon has an potential range of over 1000 meters, but the rolling of the ship would make it impossible to hit anything at that distance, so actual combat range was probably less than 500 meters.",Why is the actual combat range of the cannon less than its potential range?
the-roar-of-battle,3,"The shot travel at velocities up to and over the speed of sound, and every shot fired at the ship side punches a hole completely through up to 80 cm of solid oak.","How fast do the shots travel compared to the speed of sound, and how much damage can they cause to a ship's side?"
new-bolts,0,"It took seven years to replace her 4,000 rusty iron bolts, but Vasa is in much better shape for it.","How long did it take to replace the 4,000 rusty iron bolts on Vasa, and did it improve its condition?"
new-bolts,1,"Now eight tons lighter and with new steel bolts highly resistant to corrosion reducing the risk of chemical reactions in the wood, Vasa is expected to last for many years to come.",How have updates to the ship's structure and materials improved its longevity?
